symbol,sector,weight_recon,weight_cache,weight_diff,abs_weight_diff
DIS,Communication Services,-0.2233529135192999,-0.159239552132826,-0.06411336138647389,0.06411336138647389
CCEP,Unknown,-0.0939880227800938,-0.06939992400963253,-0.024588098770461267,0.024588098770461267
GPC,Consumer Discretionary,-0.09060335621384563,-0.10941219525110453,0.018808839037258898,0.018808839037258898
ORCL,Information Technology,-0.03598921816838655,-0.05280559802226376,0.01681637985387721,0.01681637985387721
APTV,Consumer Discretionary,-0.07249522636225723,-0.08759506139100051,0.015099835028743278,0.015099835028743278
TXN,Information Technology,-0.03209917640619729,-0.04513279570159228,0.01303361929539499,0.01303361929539499
BK,Unknown,-0.055939451345045126,-0.042976452472562925,-0.012962998872482201,0.012962998872482201
TEL,Information Technology,-0.03202555858824026,-0.044987590328746725,0.012962031740506468,0.012962031740506468
SYK,Health Care,-0.03566608229662907,-0.02385744007654292,-0.011808642220086152,0.011808642220086152
QQQ,Unknown,-0.05180675126678683,-0.04010642926878732,-0.011700321997999509,0.011700321997999509
MCHP,Information Technology,-0.030074157015642748,-0.04113860375479238,0.011064446739149629,0.011064446739149629
F,Consumer Discretionary,-0.042055166377023175,-0.05092010550928142,0.008864939132258248,0.008864939132258248
ROP,Information Technology,-0.027318718671510787,-0.03570371770117208,0.008384999029661295,0.008384999029661295
HPQ,Information Technology,-0.027294957316207045,-0.035656850291189764,0.008361892974982719,0.008361892974982719
GLW,Information Technology,-0.008265961234555093,0.0,-0.008265961234555093,0.008265961234555093
BRK-B,Financials,0.0,-0.007642844527205063,0.007642844527205063,0.007642844527205063
APH,Information Technology,-0.02615789560807016,-0.033414085239734534,0.007256189631664373,0.007256189631664373
MAR,Consumer Discretionary,-0.03233506899436728,-0.03920908579224268,0.006874016797875401,0.006874016797875401
BDX,Health Care,-0.018348783610353248,-0.011831150213942808,-0.006517633396410439,0.006517633396410439
KLAC,Information Technology,-0.024774661260098804,-0.03068576396094855,0.005911102700849748,0.005911102700849748
PANW,Information Technology,0.003379035443987424,0.0006015343264456737,0.00277750111754175,0.00277750111754175
NOW,Information Technology,0.006674496319641116,0.00415476902837217,0.002519727291268946,0.002519727291268946
NFLX,Communication Services,0.05171112489576988,0.05416258920009867,-0.0024514643043287918,0.0024514643043287918
AKAM,Information Technology,0.008846421881803642,0.00649658450386201,0.0023498373779416324,0.0023498373779416324
SPY,Unknown,-0.020746525390486166,-0.018536132055962815,-0.0022103933345233515,0.0022103933345233515
DG,Consumer Staples,0.04663000270116346,0.048684017192162726,-0.002054014490999269,0.002054014490999269
FSLR,Information Technology,0.01512409236068199,0.013265299847322257,0.001858792513359733,0.001858792513359733
CRM,Information Technology,0.01565427541453771,0.013836954282442747,0.001817321132094962,0.001817321132094962
NEM,Materials,0.04248316161113584,0.04421280657233156,-0.0017296449611957157,0.0017296449611957157
WDAY,Information Technology,0.016911238831459244,0.015192238475028336,0.0017190003564309074,0.0017190003564309074
ALNY,Unknown,0.04158114326641846,0.043240231565326415,-0.001659088298907957,0.001659088298907957
CIEN,Information Technology,0.01807064643932676,0.016442335958020082,0.0016283104813066794,0.0016283104813066794
LDOS,Industrials,0.03780301917833105,0.039166579313177095,-0.0013635601348460438,0.0013635601348460438
MU,Information Technology,0.022110644580922493,0.020798346280730726,0.0013122983001917672,0.0013122983001917672
DECK,Consumer Discretionary,0.036320240631602725,0.03756781653421917,-0.0012475759026164476,0.0012475759026164476
STZ,Consumer Staples,0.036221707153966096,0.03746157568195279,-0.0012398685279866942,0.0012398685279866942
DXCM,Health Care,0.03565412616078686,0.036849598008050564,-0.0011954718472637071,0.0011954718472637071
META,Communication Services,0.005656751230072025,0.004505802225807176,0.001150949004264849,0.001150949004264849
BBY,Consumer Discretionary,0.03506937638655945,0.036219108596060076,-0.0011497322095006257,0.0011497322095006257
ASML,Unknown,0.0,-0.001118917756799984,0.001118917756799984,0.001118917756799984
INCY,Health Care,0.006238819811066684,0.005133400719289853,0.0011054190917768308,0.0011054190917768308
MNST,Consumer Staples,0.03280546646218794,0.03377811366125693,-0.0009726471990689906,0.0009726471990689906
ISRG,Health Care,0.030238181635611282,0.031010013574584813,-0.0007718319389735315,0.0007718319389735315
GEN,Information Technology,0.048671451462682855,0.049436762661480005,-0.00076531119879715,0.00076531119879715
BIIB,Health Care,0.011299586971865203,0.010590025504905731,0.000709561466959472,0.000709561466959472
DHI,Consumer Discretionary,0.029350295580072946,0.030052676296754236,-0.0007023807166812897,0.0007023807166812897
GILD,Health Care,0.029069793062226654,0.029750232627113803,-0.0006804395648871489,0.0006804395648871489
REGN,Health Care,0.011802588981531229,0.011132372770833919,0.0006702162106973098,0.0006702162106973098
AXON,Industrials,0.02811053993288188,0.02871594588066795,-0.0006054059477860717,0.0006054059477860717
CSGP,Real Estate,0.027128526234030437,0.027657118213101125,-0.0005285919790706875,0.0005285919790706875
