variant,cost_bps,annualized_return,annualized_sharpe,max_drawdown,average_daily_turnover,long_turnover,short_turnover,average_net_beta,average_abs_net_beta,average_gross_leverage,max_gross_leverage,large_beta_exposure_days,average_sector_concentration_long,average_sector_concentration_short,hit_rate,net_cumulative_return,n_days
V1_raw_fm_weekly_adv20,0,0.10121656839538495,0.5848073353813252,-0.3114431045511925,0.09917842113645911,0.04055274075857474,0.05889129311984022,0.4423025866610572,0.44624132742971667,1.981936416184971,2.0,2466,0.19587468324264684,0.2569252697181929,0.5063798760481225,1.8561526735940825,2743
V1_raw_fm_weekly_adv20,5,0.08742139889049505,0.5211780783634646,-0.3131246168246026,0.09917842113645911,0.04055274075857474,0.05889129311984022,0.4423025866610572,0.44624132742971667,1.981936416184971,2.0,2466,0.19587468324264684,0.2569252697181929,0.5030987969376595,1.4899348346458625,2743
V1_raw_fm_weekly_adv20,10,0.0737954552793294,0.45753022232397367,-0.316780360382687,0.09917842113645911,0.04055274075857474,0.05889129311984022,0.4423025866610572,0.44624132742971667,1.981936416184971,2.0,2466,0.19587468324264684,0.2569252697181929,0.5016405395552315,1.170594724439595,2743
V1_raw_fm_weekly_adv20,20,0.0470431416843593,0.3302314172293652,-0.33575184982726436,0.09917842113645911,0.04055274075857474,0.05889129311984022,0.4423025866610572,0.44624132742971667,1.981936416184971,2.0,2466,0.19587468324264684,0.2569252697181929,0.4947138169886985,0.6493500197518247,2743
V2_beta_neutral_fm_weekly_adv20,0,0.10759728252788014,0.7880446170567258,-0.21700437759337898,0.1653065598187583,0.06029652435446427,0.10518721378987982,0.0016595071941452155,0.0020282542228980613,1.9559248554913296,2.000000000000001,0,0.19758819881838469,0.33975862926362355,0.5145917990395271,1.997457191572138,2707
V2_beta_neutral_fm_weekly_adv20,5,0.08427646971785951,0.6388116003241326,-0.22757770555200563,0.1653065598187583,0.06029652435446427,0.10518721378987982,0.0016595071941452155,0.0020282542228980613,1.9559248554913296,2.000000000000001,0,0.19758819881838469,0.33975862926362355,0.5105282600664943,1.3849345578560945,2707
V2_beta_neutral_fm_weekly_adv20,10,0.06144014903543793,0.4894205258332325,-0.23831788462043235,0.1653065598187583,0.06029652435446427,0.10518721378987982,0.0016595071941452155,0.0020282542228980613,1.9559248554913296,2.000000000000001,0,0.19758819881838469,0.33975862926362355,0.5064647210934614,0.897453848301486,2707
V2_beta_neutral_fm_weekly_adv20,20,0.01718146281537436,0.19054939320782543,-0.28788750799438456,0.1653065598187583,0.06029652435446427,0.10518721378987982,0.0016595071941452155,0.0020282542228980613,1.9559248554913296,2.000000000000001,0,0.19758819881838469,0.33975862926362355,0.4975988178795715,0.20081050785082577,2707
V3_beta_neutral_sector_capped_fm_weekly_adv20,0,0.10881141375993741,0.8042905194024456,-0.22070826364902263,0.17109499060795158,0.06149623748249464,0.10977109894773984,1.1560550981389583e-17,3.1445980326916406e-16,1.9559248554913296,2.000000000000001,0,0.1962879791456923,0.2552680039193978,0.5168082748429996,2.03294217491805,2707
V3_beta_neutral_sector_capped_fm_weekly_adv20,5,0.0846557980130902,0.647791068851099,-0.2317077368176823,0.17109499060795158,0.06149623748249464,0.10977109894773984,1.1560550981389583e-17,3.1445980326916406e-16,1.9559248554913296,2.000000000000001,0,0.1962879791456923,0.2552680039193978,0.5127447358699667,1.3939125577230729,2707
V3_beta_neutral_sector_capped_fm_weekly_adv20,10,0.06101954701217993,0.49113251808894537,-0.2442149432332118,0.17109499060795158,0.06149623748249464,0.10977109894773984,1.1560550981389583e-17,3.1445980326916406e-16,1.9559248554913296,2.000000000000001,0,0.1962879791456923,0.2552680039193978,0.5086811968969339,0.8893927043342629,2707
V3_beta_neutral_sector_capped_fm_weekly_adv20,20,0.015261289920263321,0.17777049768136152,-0.28703180797502004,0.17109499060795158,0.06149623748249464,0.10977109894773984,1.1560550981389583e-17,3.1445980326916406e-16,1.9559248554913296,2.000000000000001,0,0.1962879791456923,0.2552680039193978,0.49796823051348355,0.1766828998136356,2707
