metric,period,ann_vol
full_sample,full,0.14235003502817362
rolling_60d_mean,full,0.13101551501480338
rolling_60d_max,full,0.3786128058597217
rolling_252d_mean,full,0.13692345945980197
rolling_252d_max,full,0.23899166595796864
calendar_year,2014,0.08662835453564172
calendar_year,2015,0.09694814275452551
calendar_year,2016,0.11508256450016166
calendar_year,2017,0.08758120219567433
calendar_year,2018,0.0969402806257017
calendar_year,2019,0.1068281311593652
calendar_year,2020,0.23382052923106492
calendar_year,2021,0.17722038519877434
calendar_year,2022,0.18535670365564597
calendar_year,2023,0.14111250170278994
calendar_year,2024,0.14341415365262947
