sigma_target,cost_bps,leverage_scaler,production_gross,ann_return,ann_sharpe,max_dd,dd_duration_days,hit_rate,ann_vol_realized
0.06,5,0.4214962081893758,0.8429924163787516,0.03778957165490704,0.6483316105669177,-0.10193438404931887,450,0.5108976727004063,0.0599880406373617
0.06,10,0.4214962081893758,0.8429924163787516,0.028471811910234512,0.4979589547477874,-0.10722723018194924,680,0.5072035463612855,0.05998910693209625
0.06,20,0.4214962081893758,0.8429924163787516,0.010083173636611154,0.1971013291235528,-0.13133041248343724,1555,0.49685999261174735,0.06003030523814451
0.08,5,0.5619949442525011,1.1239898885050021,0.04986249482090299,0.6483316105669178,-0.1339526798739854,450,0.5108976727004063,0.07998405418314894
0.08,10,0.5619949442525011,1.1239898885050021,0.037313504818389465,0.4979589547477875,-0.14075334806392947,720,0.5072035463612855,0.07998547590946167
0.08,20,0.5619949442525011,1.1239898885050021,0.012657763235503827,0.19710132912355288,-0.17179552064783732,1555,0.49685999261174735,0.0800404069841927
0.1,5,0.7024936803156263,1.4049873606312526,0.06165295803024251,0.6483316105669178,-0.16502445086988726,451,0.5108976727004063,0.09998006772893617
0.1,10,0.7024936803156263,1.4049873606312526,0.04581473948709913,0.4979589547477875,-0.173214464109555,720,0.5072035463612855,0.09998184488682707
0.1,20,0.7024936803156263,1.4049873606312526,0.014834286282663367,0.19710132912355283,-0.21068076617339027,1555,0.49685999261174735,0.10005050873024088
0.12,5,0.8429924163787516,1.685984832757503,0.07314883231343927,0.6483316105669177,-0.19516961704218838,451,0.5108976727004063,0.1199760812747234
0.12,10,0.8429924163787516,1.685984832757503,0.053966371287464954,0.4979589547477874,-0.20463608924548682,720,0.5072035463612855,0.1199782138641925
0.12,20,0.8429924163787516,1.685984832757503,0.016610507541742203,0.1971013291235528,-0.24803122181009885,1555,0.49685999261174735,0.12006061047628902
