bucket_type,bucket,contribution,share_of_loss,net_exposure,long_exposure,short_exposure,full_sample_beta_reference
sector,Consumer Discretionary,-0.017235418762804038,0.4109689758988545,-0.08259616473479982,0.08347636621695301,-0.16607253095175287,
sector,Communication Services,-0.016137567725169895,0.3847913284140309,-0.12715807423470363,0.05781047442324312,-0.18496854865794676,
sector,Real Estate,-0.008733008544366608,0.20823373237323048,0.018513126931521844,0.04013635173120453,-0.02162322479968268,
sector,Industrials,-0.003641028605953587,0.08681830235749594,0.08044630153922559,0.1366009393145743,-0.05615463777534872,
sector,Unknown,-0.003006502603119903,0.07168838267556023,-0.053639184008666824,0.021047543522931495,-0.07468672753159833,
sector,Energy,-0.002659439365842906,0.0634128527822173,0.02149424669329583,0.02645442666425294,-0.004960179970957115,
sector,Information Technology,-0.0012769095711060285,0.03044719864221709,-0.2039768062430454,0.10913808157905881,-0.31311488782210417,
sector,Materials,-0.0009024116510417872,0.0215175039940545,-0.024129642005622676,0.0597382560328835,-0.0838678980385062,
sector,Consumer Staples,-0.0004428706213001906,0.010560003687535475,0.1115843817420728,0.1198547640167842,-0.008270382274711408,
sector,Health Care,0.00010975985370911085,-0.002617162674978879,0.16877814577776898,0.18218088793318857,-0.013402742155419596,
book_side,short_book,-0.032946183732655246,0.785583429954447,-1.0,0.0,-1.0,
book_side,long_book,-0.00899230742743157,0.2144165700455533,1.0,1.0,0.0,
daily_beta_drift_20d,2023-09-15,0.44069359378155826,,,,,0.216
daily_beta_drift_20d,2023-09-18,0.44896162794286515,,,,,0.216
daily_beta_drift_20d,2023-09-19,0.4471506675348594,,,,,0.216
daily_beta_drift_20d,2023-09-20,0.43317191494813306,,,,,0.216
daily_beta_drift_20d,2023-09-21,0.380405115487773,,,,,0.216
daily_beta_drift_20d,2023-09-22,0.3605905339975056,,,,,0.216
daily_beta_drift_20d,2023-09-25,0.35306365777336657,,,,,0.216
daily_beta_drift_20d,2023-09-26,0.21427714505368528,,,,,0.216
daily_beta_drift_20d,2023-09-27,0.13119000735700462,,,,,0.216
daily_beta_drift_20d,2023-09-28,0.23156245567629632,,,,,0.216
daily_beta_drift_20d,2023-09-29,0.2250308952269735,,,,,0.216
daily_beta_drift_20d,2023-10-02,0.5265220018506598,,,,,0.216
daily_beta_drift_20d,2023-10-03,0.5586641790606851,,,,,0.216
daily_beta_drift_20d,2023-10-04,0.4121861190012807,,,,,0.216
daily_beta_drift_20d,2023-10-05,0.4115845757733231,,,,,0.216
daily_beta_drift_20d,2023-10-06,0.3415013780677758,,,,,0.216
daily_beta_drift_20d,2023-10-09,0.3186278428636545,,,,,0.216
daily_beta_drift_20d,2023-10-10,0.35741849658892344,,,,,0.216
daily_beta_drift_20d,2023-10-11,0.3207393175644765,,,,,0.216
daily_beta_drift_20d,2023-10-12,0.27372527736316055,,,,,0.216
daily_beta_drift_20d,2023-10-13,0.33335195637684767,,,,,0.216
daily_beta_drift_20d,2023-10-16,0.3851128749441493,,,,,0.216
daily_beta_drift_20d,2023-10-17,0.4050442695495548,,,,,0.216
daily_beta_drift_20d,2023-10-18,0.3480033333449169,,,,,0.216
daily_beta_drift_20d,2023-10-19,0.30725044605322843,,,,,0.216
daily_beta_drift_20d,2023-10-20,0.28418206066557067,,,,,0.216
daily_beta_drift_20d,2023-10-23,0.2826991113187602,,,,,0.216
daily_beta_drift_20d,2023-10-24,0.38010702692442333,,,,,0.216
daily_beta_drift_20d,2023-10-25,0.2662643176680544,,,,,0.216
daily_beta_drift_20d,2023-10-26,0.22725205354660327,,,,,0.216
daily_beta_drift_20d,2023-10-27,0.25874293790317665,,,,,0.216
daily_beta_drift_20d,2023-10-30,0.09377395731145349,,,,,0.216
daily_beta_drift_20d,2023-10-31,0.06382427253583481,,,,,0.216
daily_beta_drift_20d,2023-11-01,0.13743806250087903,,,,,0.216
daily_beta_drift_20d,2023-11-02,0.18215875581472057,,,,,0.216
daily_beta_drift_20d,2023-11-03,0.2655933594599589,,,,,0.216
daily_beta_drift_20d,2023-11-06,0.32121896226299146,,,,,0.216
daily_beta_drift_20d,2023-11-07,0.31024920033699105,,,,,0.216
daily_beta_drift_20d,2023-11-08,0.3285024757554502,,,,,0.216
daily_beta_drift_20d,2023-11-09,0.31938373223664535,,,,,0.216
daily_beta_drift_20d,2023-11-10,0.28889915094463525,,,,,0.216
daily_beta_drift_20d,2023-11-13,0.27095267845489657,,,,,0.216
daily_beta_drift_20d,2023-11-14,0.3777183495053496,,,,,0.216
daily_beta_drift_20d,2023-11-15,0.41251154532426537,,,,,0.216
single_factor_sleeve,short_term_reversal,0.024999321528867968,,,,,
single_factor_sleeve,idiosyncratic_vol,0.01851164342691658,,,,,
single_factor_sleeve,week_52_high,0.009213034567985057,,,,,
