AUM_usd,n_short_names,short_gross_usd,htb_notional_usd,htb_share,top10_concentration,borrow_feasible
5000000,36,3512468.4015781316,896147.5654751336,0.2551332746715955,0.4865081342545344,False
10000000,36,7024936.803156263,1792295.1309502672,0.2551332746715955,0.4865081342545344,False
25000000,36,17562342.007890657,4480737.827375667,0.2551332746715955,0.4865081342545344,False
50000000,36,35124684.01578131,8961475.654751334,0.2551332746715955,0.4865081342545344,False
100000000,36,70249368.03156263,17922951.30950267,0.2551332746715955,0.4865081342545344,False
250000000,36,175623420.07890657,44807378.273756675,0.2551332746715955,0.4865081342545344,False
500000000,36,351246840.15781313,89614756.54751335,0.2551332746715955,0.4865081342545344,False
1000000000,36,702493680.3156263,179229513.0950267,0.2551332746715955,0.4865081342545344,False
2000000000,36,1404987360.6312525,358459026.1900534,0.2551332746715955,0.4865081342545344,False
5000000000,36,3512468401.5781317,896147565.4751335,0.2551332746715955,0.4865081342545344,False
